NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
10186,PERMIDRAL,LINFA S.P.A. CURA DEL VERDE,PERMETHRIN,5.0 g
10187,NAUTILE DG,UPL EUROPE LTD,CYMOXANIL|MANCOZEB,5.0 g|68.0 g
10188,AXEL,PROCHIMAG DI MANDRIOLI GIUSEPPE,CHLORSULFURON,75.0 g
10189,TOLCLONET,PROCHIMAG DI MANDRIOLI GIUSEPPE,TOLCLOFOS-METHYL,50.0 g
10190,BENGALA,AGRIVET S.A.S.,FOMESAFEN,23.0 g
10191,CAMBA 480,AGRIMIX S.R.L.,DICAMBA,40.0 g
10192,MITIGAN COMBI,ADAMA AGAN LTD,DICOFOL|TETRADIFON,15.0 g|8.0 g
10193,GIB,CHEMIA S.P.A.,GIBBERELLIC ACID,2.0 g
10194,OMEGA,NUFARM ITALIA S.R.L.,ETHEPHON,39.5 g
10195,TRIANET WDG,PROCHIMAG DI MANDRIOLI GIUSEPPE,TRIADIMENOL,5.0 g
10196,NECTAR,FINE AGROCHEMICALS LTD,GIBBERELLINS (A4+A7),2.0 g
10197,SONIC,DOW AGROSCIENCES ITALIA S.R.L.,FENARIMOL|QUINOXYFEN,5.4 g|18.1 g
10198,GLIFAST,COMAGRI S.R.L.,GLYPHOSATE,30.0 g
10199,LERAM HI BIO,ALBAUGH UK LTD.,COPPER OXYCHLORIDE,35.0 g
10200,RIDOX 40 WG,ISAGRO S.P.A.,COPPER HYDROXIDE,40.0 g
10201,SINIS WG,SUMITOMO CHEMICAL ITALIA S.R.L.,METRIBUZIN,35.0 g
10202,OSSICLORURO 50 WP,ISAGRO S.P.A.,COPPER OXYCHLORIDE,50.0 g
10203,BLITZ,AGRIVET S.A.S.,COPPER OXYCHLORIDE|OXADIXYL,16.0 g|4.0 g
10203,BLITZ,AGRIVET S.A.S.,COPPER OXYCHLORIDE|OXADIXYL,16.0 g|4.0 g
10204,OBAN,AGRIVET S.A.S.,METAMITRON|LENACIL,58.0 g|7.0 g
10205,ESCARB,AGRIVET S.A.S.,METHIOCARB (AKA MERCAPTODIMETHUR),1.0 g
10206,CURENOX MICRO PRO,IQV ITALIA S.R.L.,COPPER OXYCHLORIDE,40.0 g
10207,HERB-RICE WG,NUFARM ITALIA S.R.L.,PROPANIL,80.0 g
10208,EURPHOS,LABORATORIO BIOFARMACOTECNICO ITALIANO S.R.L.,FOSETYL-ALUMINIUM,80.0 g
10209,GLYFOS ULTRA,CHEMINOVA A/S,GLYPHOSATE,30.7 g
10210,DIFUSE 25 WP,ARYSTA LIFESCIENCE BENELUX SPRL,DIFLUBENZURON,25.0 g
10211,GIANT,PROCHIMAG DI MANDRIOLI GIUSEPPE,CARBOSULFAN,5.0 g
10212,POLTIGLIA BORDOLESE SAM 13 VERDE,INDUSTRIA CHIMICA SCARMAGNAN ALBERTO & C. S.A.S.,BORDEAUX MIXTURE|COPPER SULFATE,13.0 g|13.0 g
10213,POLTIGLIA BORDOLESE SAM 20 VERDE,INDUSTRIA CHIMICA SCARMAGNAN ALBERTO & C. S.A.S.,COPPER SULFATE,20.0 g
10214,OSSICLOR 50 WG,MANICA S.P.A.,COPPER OXYCHLORIDE,50.0 g
10215,TERBIL 50 DF,SIMAR S.R.L.,TERBUTHYLAZINE,50.0 g
10216,AGRITOX DRY 800,NUFARM GMBH & CO KG,MCPA,88.8 g
10217,BATON 800 SP,NUFARM GMBH & CO KG,"2,4-D",95.0 g
10218,TORNADO 700 SG,NUFARM GMBH & CO KG,"2,4-D",77.0 g
10219,LENTEMUL D,NUFARM S.A.S.,"2,4-D",61.7 g
10220,DICOPUR COMBI,NUFARM GMBH & CO KG,"MCPA|2,4-D",25.0 g|24.7 g
10221,PIMIENTO 600,NUFARM GMBH & CO KG,"2,4-D",49.8 g
10222,METOM VERDE,AGRIPHAR ITALIA S.R.L.,METHOMYL,18.0 g
10223,EURCIMOX,TECNOTREA S.R.L.,CYMOXANIL,50.0 g
10224,EMME-H,AGRICO S.R.L.,MALEIC HYDRAZIDE,16.1 g
10225,IDRAZENE MH,SIPCAM S.P.A.,MALEIC HYDRAZIDE,15.0 g
10226,NOXIS M,NUFARM GMBH & CO KG,MCPA,19.0 g
10227,FUNGOLD,ADAMA MAKHTESHIM LTD,PROCHLORAZ,37.5 g
10228,SPOLEN,SCAM S.P.A.,PROCHLORAZ,46.1 g
10229,EQUITY,DOW AGROSCIENCES ITALIA S.R.L.,CLOPYRALID,-
10230,LUMAPLUS,SIPCAM ITALIA S.P.A.,METALDEHYDE,4.9 g
10231,GOLEADOR,SIAPA S.R.L.,PENDIMETHALIN,32.0 g
10232,SEMESAN PS,SEPRAN S.A.S.,MALATHION,1.0 g
10233,BORDOSEP,SEPRAN S.A.S.,BORDEAUX MIXTURE,20.0 g
10234,SLOGAN R BLU,BASF ITALIA S.P.A.,COPPER OXYCHLORIDE|DIMETHOMORPH,40.0 g|6.0 g
10235,SLOGAN MZ,BASF ITALIA S.P.A.,-,-
10236,SLOGAN R,BASF ITALIA S.P.A.,COPPER OXYCHLORIDE|DIMETHOMORPH,40.0 g|6.0 g
10237,TERZINA DF,AGROQUALITA' S.R.L.,TERBUTHYLAZINE,75.0 g
10238,BETAGOL DF,GOWAN ITALIA S.R.L.,METAMITRON,70.0 g
10239,SARMOX R BIANCO,GOWAN ITALIA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|20.0 g
10240,BORDORAM 20,IQV ITALIA S.R.L.,BORDEAUX MIXTURE,20.0 g
10241,SARMOX M BLU,SIPCAM OXON S.P.A.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
10242,GLIFOSAR 360 SG,AGROQUALITA' S.R.L.,GLYPHOSATE,36.0 g
10243,SARMOX R BLU,GOWAN ITALIA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|20.0 g
10244,BETASAR 65 DF,GOWAN ITALIA S.R.L.,CHLORIDAZON (AKA PYRAZONE),65.0 g
10245,KELSON,DOW AGROSCIENCES ITALIA S.R.L.,HALOXYFOP-P-METHYL ESTER,10.6 g
10246,RIDOMIL GOLD G,SYNGENTA ITALIA S.P.A.,METALAXYL-M,-
10247,DORMEX,ALZCHEM TROSTBERG GMBH,CYANAMIDE,49.0 %
10248,CLORTIL DF,AGROQUALITA' S.R.L.,CHLOROTHALONIL,75.0 g
10249,SUV 50 FL,AGROQUALITA' S.R.L.,CARBARIL,47.5 g
10250,GEOZIN 5G,AGROQUALITA' S.R.L.,DIAZINON,5.0 g
10251,DN 35 FL,AGROQUALITA' S.R.L.,DODINE,35.0 g
10252,MANTIR 80 DF,AGROQUALITA' S.R.L.,MANCOZEB,75.0 g
10253,RAMOZEB,GOWAN ITALIA S.R.L.,MANCOZEB|COPPER OXYCHLORIDE,20.0 g|20.0 g
10254,CUPROSAR 40,GOWAN ITALIA S.R.L.,COPPER OXYCHLORIDE,40.0 g
10255,BIETOFLEX,SCAM S.P.A.,CHLORIDAZON (AKA PYRAZONE),65.0 g
10256,CUPROSCAM MZ BLEU,UPL EUROPE LTD,MANCOZEB|COPPER OXYCHLORIDE,10.0 g|30.0 g
10257,BANG,ARYSTA LIFESCIENCE BENELUX SPRL,CYPERMETHRIN,5.5 g
10258,FUNGI PROX 50,GUABER S.P.A.,PROCYMIDONE,50.0 g
10259,FOS.AL 80,GUABER S.P.A.,FOSETYL-ALUMINIUM,80.0 g
10260,SETTER,DOW AGROSCIENCES ITALIA S.R.L.,GLYPHOSATE,30.8 g
10261,GRANDOR,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,7.5 g
10262,PIRIFOS G,ARYSTA LIFESCIENCE BENELUX SPRL,CHLORPYRIFOS,7.5 g
10263,DRIVER,NUFARM ITALIA S.R.L.,MECOPROP|DICAMBA,8.8 g|1.3 g
10264,GOLTIX COMBI DUO,SIPCAM OXON S.P.A.,METAMITRON|CHLORIDAZON (AKA PYRAZONE),40.0 g|25.0 g
10265,THUNDER,SEPRAN S.A.S.,DODINE,65.0 g
10266,DORITAL 2000,ITAL-AGRO S.R.L.,PERMETHRIN,25.0 g
10267,OROVIT R 4-38,ASCENZA ITALIA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|38.0 g
10268,TILAZIN 45,SOCOA TRADING S.R.L.,TERBUTHYLAZINE,45.0 g
10269,TAMIRAZ EC,SOCOA TRADING S.R.L.,AMITRAZ,22.0 g
10270,ERMITRON G,AGROSER S.R.L.,METAMITRON,70.0 g
10271,FENIT WG,NEW AGRI S.R.L.,FENITROTHION,40.0 g
10272,CEREXIL M DG,UPL EUROPE LTD,MANCOZEB|METALAXYL,64.0 g|8.0 g
10273,MEVAXYL R OXY,IQV ITALIA S.R.L.,COPPER HYDROXIDE|METALAXYL,40.0 g|8.0 g
10274,NIAGARA,ROCCA FRUTTA S.R.L.,CLOFENTEZINE,42.0 g
10275,STELLA EC,ASCENZA ITALIA S.R.L.,PENCONAZOLE,10.2 g
10276,QUALITY,ERREGI S.R.L.,CARBARIL,40.0 g
10277,PULIFRUT,SIPCAM ITALIA S.P.A.,SODIUM DIOCTYL SULFOSUCCINATE,10.0 g
10278,SARMOX M BIANCO,SIPCAM OXON S.P.A.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
10279,ETOPROSAR E,AGROQUALITA' S.R.L.,ETHOPROPHOS,19.0 g
10280,BOLERO MICROMIX,SIPCAM OXON S.P.A.,TERBUTHYLAZINE|ACETOCHLOR|FURILAZOLE,14.4 g|28.7 g|1.0 g
10281,AGROPHATE,CHEMINOVA AGRO ITALIA S.R.L.,ACEPHATE,43.0 g
10282,NIBER WG,SIAPA S.R.L.,METRIBUZIN,35.0 g
10283,FARGO,AGRIMIX S.R.L.,PENDIMETHALIN,32.0 g
10284,CONAZOL 25 EC,PROCHIMAG DI MANDRIOLI GIUSEPPE,PROPICONAZOLE,25.0 g
10285,TOMAHAWK,NUFARM ITALIA S.R.L.,FLUROXYPYR,20.6 g
10286,BORDAGRO,ALINTRA S.A.,BORDEAUX MIXTURE,20.0 g
10287,BALDO EW,CHEMINOVA AGRO ITALIA S.R.L.,MALATHION,40.0 g
10288,RAMEZIN COMBI NC,ISAGRO S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|40.0 g
10289,POLTIGLIA CAFFARO 20 NC,ISAGRO S.P.A.,COPPER SULFATE,20.2 g
10290,XEDARIL,XEDA INTERNATIONAL S.A.,-,-
10291,MAICOL,SIVAM S.P.A.,DICAMBA,40.3 g
10292,FLOMYDE,PROCHIMAG DI MANDRIOLI GIUSEPPE,PROPYZAMIDE,36.0 g
10293,SIRENE CM,SYNGENTA ITALIA S.P.A.,"PERMETHRIN|(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)",6.0 g|0.2 g
10294,FENGOLD MICRO,AGRIMPORT S.P.A.,FENITROTHION,35.0 g
10295,EURO,ROCCA FRUTTA S.R.L.,TRIADIMENOL,22.9 g
10296,IPERION,ISAGRO S.P.A.,COPPER OXYCHLORIDE,37.5 g
10297,SINIS 35 WG,ADAMA ITALIA S.R.L.,METRIBUZIN,35.0 g
10298,ADEOCLOR TZ,SIAPA S.R.L.,ALACLOR|TERBUTHYLAZINE,27.0 g|11.0 g
10299,SCIRON EC,SIAPA S.R.L.,OXADIAZON,25.5 g
10300,FLARE GOLD R,SYNGENTA ITALIA S.P.A.,COPPER OXYCHLORIDE|METALAXYL-M,40.0 g|2.4 g
10301,FLARE GOLD MZ,SYNGENTA ITALIA S.P.A.,MANCOZEB|METALAXYL-M,64.0 g|3.9 g
10302,FLARE GOLD COMBI,SYNGENTA ITALIA S.P.A.,FOLPET|METALAXYL-M,40.0 g|4.9 g
10303,OIKOS 25 PLUS,SIPCAM S.P.A.,AZADIRACHTIN (MARGOSA EXTRACT),2.4 g
10304,OIKOS PB,SIPCAM S.P.A.,AZADIRACHTIN (MARGOSA EXTRACT),10.0 g
10305,OIKOS,SIPCAM OXON S.P.A.,AZADIRACHTIN (MARGOSA EXTRACT),2.4 g
10306,MISTRAL,NUFARM ITALIA S.R.L.,MCPA,19.0 g
10307,DOXAR SC,SELEZIONE PAC S.R.L.,OXADIAZON,35.2 g
10308,PYREOS 22,NUFARM ITALIA S.R.L.,CHLORPYRIFOS-METHYL,22.0 g
10309,AFD 25,CIFO S.R.L.,DICOFOL,24.0 g
10310,GEOTOX GR,SEPRAN S.A.S.,CHLORPYRIFOS,8.0 g
10311,OXARIL 2G,SCAM S.P.A.,OXADIAZON,2.0 g
10312,SULCOTREK P,ADAMA AGAN LTD,PENDIMETHALIN|TERBUTHYLAZINE|SULCOTRIONE,4.8 g|19.3 g|10.2 g
10313,PROPASIM 60 DF,SIMAR S.R.L.,PROPANIL,60.0 g
10314,CICLOPS,ADAMA DEUTSCHLAND GMBH,CLOPYRALID,10.0 g
10315,AGROCYDE 5 EC,SBM DEVELOPPEMENT S.A.S.,CYPERMETHRIN,5.0 g
10316,FLARE GOLD,SYNGENTA ITALIA S.P.A.,METALAXYL-M,43.9 g
10317,PLENUM,SYNGENTA ITALIA S.P.A.,PYMETROZINE,25.0 g
10318,MERLIN GP,BAYER CROPSCIENCE S.R.L.,ISOXAFLUTOLE|FLUFENACET (FORMERLY FLUTHIAMIDE),10.0 g|48.0 g
10319,CADOU WP,BAYER CROPSCIENCE S.R.L.,FLUFENACET (FORMERLY FLUTHIAMIDE),60.0 g
10320,DYNAM,SYNGENTA ITALIA S.P.A.,OXASULFURON,-
10321,MERLIN DUO,BAYER CROPSCIENCE S.R.L.,TERBUTHYLAZINE|ISOXAFLUTOLE,34.4 g|3.4 g
10322,CADOU STAR,BAYER CROPSCIENCE S.R.L.,ISOXAFLUTOLE|FLUFENACET (FORMERLY FLUTHIAMIDE),10.0 g|48.0 g
10323,LIBERTY,BAYER CROPSCIENCE S.R.L.,GLUFOSINATE,11.3 g
10324,NEMATHORIN 10 G,ISK BIOSCIENCES EUROPE N.V.,FOSTHIAZATE,10.0 g
10325,CHALLENGE COMBI,BAYER CROPSCIENCE S.R.L.,ACLONIFEN|OXADIARGYL,34.3 g|10.3 g
10326,LIBERTY 200,BAYER CROPSCIENCE S.R.L.,GLUFOSINATE,18.0 g
10327,MADEX,INTRACHEM BIO ITALIA S.P.A.,CYDIA POMONELLA GRANULOVIRUS (CPGV),1.0 g
10328,MALIBU',BASF ITALIA S.P.A.,PENDIMETHALIN|FLUFENACET (FORMERLY FLUTHIAMIDE),28.2 g|5.6 g
10329,FORUM MZ WG,BASF ITALIA S.P.A.,MANCOZEB|DIMETHOMORPH,60.0 g|9.0 g
10330,ARROW G,NUFARM ITALIA S.R.L.,DICHLOBENIL,7.0 g
10331,GRAMILIN,CHIMIBERG S.R.L.,METOLACHLOR,87.0 g
10332,GOLTIX 90 WG,MAGAN ITALIA S.R.L.,METAMITRON,90.0 g
10333,TIOSIM 80 DF,SIMAR S.R.L.,SULPHUR (ZOLFO),80.0 g
10334,BOTRYLEX WG,BASF AGRO S.P.A.,PROCYMIDONE,50.0 g
10335,GARANTY,ERREGI S.R.L.,CLOPYRALID,9.5 g
10336,ARIEL DF,BAYER CROPSCIENCE S.R.L.,FOSETYL-ALUMINIUM,80.0 g
10337,OVERKILL,SBM DEVELOPPEMENT S.A.S.,CYPERMETHRIN,9.8 g
10338,TAMISOL 510,EASTMAN ITALIA S.R.L.,METAM SODIUM,42.1 g
10339,AVISO DF,BASF ITALIA S.P.A.,CYMOXANIL|METIRAM,4.8 g|57.0 g
10340,BLOPER,AGRIMPORT S.P.A.,CYMOXANIL,45.0 g
10341,METAFLO,CHEMIA S.P.A.,METAMITRON,45.0 g
10342,RIFLE 44,SIPCAM OXON S.P.A.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
10343,TRIBUTE,TECNITERRA S.R.L.,METRIBUZIN,35.0 g
10344,CTONIALEX,BASF ITALIA S.P.A.,TOLCLOFOS-METHYL,50.0 g
10345,GREENKEEPER,BASF AGRO S.P.A.,TOLCLOFOS-METHYL,50.0 g
10346,GIAVONIL EC,ADAMA AGAN LTD,PROPANIL,35.0 g
10347,CYPROC WDG,GUABER S.R.L.,CYMOXANIL,40.0 g
10348,BLANCADO,COMERCIAL QUIMICA MASSO' S.A.,CYMOXANIL|COPPER HYDROXIDE,3.0 g|20.0 g
10349,MONILEX 50 WDG,ERREGI S.R.L.,PROCYMIDONE,50.0 g
10350,BLAST SG,BASF ITALIA S.P.A.,BENTAZONE,87.0 g
10351,VOLCAN STAR,MAGAN ITALIA S.R.L.,METAMITRON|LENACIL,60.0 g|5.0 g
10352,DECIS 15 EW,BAYER CROPSCIENCE S.R.L.,DELTAMETHRIN,15.0 g/l
10353,TRIBEL 100 EC,ARYSTA LIFESCIENCE BENELUX SPRL,TRICLOPIR BUTOSSIETILEN ESTERE,10.6 g
10354,DISERBATUTTO L,KOLLANT S.R.L.,SODIO CLORATO,24.7 g
10355,FENARIKOL,KOLLANT S.R.L.,FENARIMOL,11.4 g
10356,BOTRYLEX WP,BASF AGRO S.P.A.,PROCYMIDONE,50.0 g
10357,RIGRON SG,BASF ITALIA S.P.A.,BENTAZONE,87.0 g
10358,POMOZIN WG,AGRIMIX S.R.L.,METRIBUZIN,23.0 g
10359,ZEAPLUS,AGRIMIX S.R.L.,DICAMBA,16.0 g
10360,NADIR,ADAMA MAKHTESHIM LTD,AMITRAZ,22.0 g
10361,METAMAK,ADAMA MAKHTESHIM LTD,METAM SODIUM,39.0 g
10362,STAM 60 DF,UNITED PHOSPHORUS ITALY S.R.L.,PROPANIL,60.0 g
10363,ACTUM,BASF ITALIA S.P.A.,SULPHUR (ZOLFO),80.0 g
10364,MONILEX FL,DIACHEM S.P.A.,PROCYMIDONE,26.0 g
10365,KURAM,MANICA S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.2 g|40.0 g
10366,LEAVE 35,I.R.C.A. SERVICE S.P.A.,FENITROTHION,35.0 g
10367,GLIFENE ULTRA,CHIMIBERG S.R.L.,GLYPHOSATE,31.0 g
10368,TRISCABOL 76 WG,UPL EUROPE LTD,ZIRAM,76.0 g
10369,SCION,COMERCIAL QUIMICA MASSO' S.A.,PENDIMETHALIN,307.0 g/l
10370,WHAM! DF 80,RICEMADEIRA COMPANY EUROPE,PROPANIL,80.0 g
10371,ZILAD,AGRIM S.R.L.,GIBBERELLINS (A4+A7)|6-BENZYLADENINE,1.8 g|1.8 g
10372,RASIKAL QUICK,NUFARM GMBH & CO KG,GLYPHOSATE,30.4 g
10373,CONTEST,BASF ITALIA S.P.A.,ALPHA-CYPERMETHRIN (AKA ALPHAMETHRIN),14.5 g
10374,METIOL B,PROCHIMAG ITALIA S.R.L.,METHIOCARB (AKA MERCAPTODIMETHUR),1.0 g
10375,BENTOZOL 60,DAL CIN GILDO S.P.A.,SULPHUR (ZOLFO),60.0 g
10376,ORYZA,TECOMAG S.R.L.,OXADIAZON,33.4 g
10377,ACARIT,ERREGI S.R.L.,BROMOPROPILATO,260.0 g/l
10378,FLARE GOLD G,SYNGENTA ITALIA S.P.A.,METALAXYL-M,-
10379,CADOU WG,BAYER CROPSCIENCE S.R.L.,FLUFENACET (FORMERLY FLUTHIAMIDE),60.0 g
10380,DIPLOME,BAYER CROPSCIENCE S.R.L.,METOSULAM|FLUFENACET (FORMERLY FLUTHIAMIDE),2.5 g|60.0 g
10381,CONCORDE 40 EW,ISAGRO S.P.A.,TETRACONAZOLE,3.9 g
10382,DORIFOS,GREENLOGY S.R.L.,CHLORPYRIFOS-METHYL,8.0 g
10383,ENDOSAR 35 EC,AGROQUALITA' S.R.L.,ENDOSULFAN,32.9 g
10384,FULLDINA DF,AGROQUALITA' S.R.L.,DODINE,40.0 g
10385,BOX 50 WP,AGROQUALITA' S.R.L.,IPRODIONE,50.0 g
10386,MECLIN MGD,SCAM S.P.A.,METRIBUZIN,35.0 g
10387,CRITTONEX,AGRIPHAR ITALIA S.R.L.,BENOMYL,48.0 g
10388,MYREX,GOWAN ITALIA S.R.L.,QUINALPHOS,245.0 g/l
10389,RELBUG,COMERCIAL QUIMICA MASSO' S.A.,CHLORPYRIFOS,210.0 g/l
10390,DIRACTIN,SIPCAM OXON S.P.A.,AZADIRACHTIN (MARGOSA EXTRACT),2.4 g
10391,FOGLIALARGA,NUFARM ITALIA S.R.L.,MECOPROP|DICAMBA,8.8 g|1.3 g
10392,TAIFUN,ADAMA AGAN LTD,GLYPHOSATE,30.8 g
10393,LENIC 80 WDG,SCAM S.P.A.,LENACIL,80.0 g
10394,MALATHION 30% CS,I.R.C.A. SERVICE S.P.A.,MALATHION,30.0 g
10395,CAPITAL 70,ROCCA FRUTTA S.R.L.,THIOPHANATE-METHYL,70.0 g
10396,LIZOCIN,ADAMA ITALIA S.R.L.,PROPICONAZOLE,23.1 g
10397,TICKET-SC,SCAM S.P.A.,FENBUTATIN OXIDE,44.0 g
10398,STIKER,ASCENZA AGRO S.A.,HEXYTHIAZOX,10.0 g
10399,LIBER FL,AUSCHEM LTD,PHENMEDIPHAM,160.0 g/l
10400,ATRAC 500 FL,SCAM S.P.A.,CLOFENTEZINE,42.0 g
10401,SUKER,AUSCHEM LTD,ETHOFUMESATE|METAMITRON,15.0 g|50.0 g
10402,CUPROXAMYL 320,SOCOA TRADING S.R.L.,CYMOXANIL|COPPER HYDROXIDE,3.0 g|20.0 g
10403,NIMBUS,DIACHEM S.P.A.,PROPAMOCARB,66.6 g
10404,CLINIC 360 SL,NUFARM GMBH & CO KG,GLYPHOSATE,30.7 g
10405,BUGGY 72 SG,SIPCAM S.P.A.,GLYPHOSATE,72.0 g
10406,FARM DF,SIPCAM S.P.A.,PROPANIL,80.0 g
10407,BUGGY 36 SG,SIPCAM S.P.A.,GLYPHOSATE,36.0 g
10408,BUGGY 24 SG,SIPCAM S.P.A.,GLYPHOSATE,24.0 g
10409,ELIOS,SIPCAM S.P.A.,FOSETYL-ALUMINIUM,80.0 g
10410,AS 50 DF,SIPCAM S.P.A.,CARBARIL,50.0 g
10411,RAMPAR TZ,SIPCAM S.P.A.,BROMOXYNIL OCTANOATE|TERBUTHYLAZINE,12.0 g|25.0 g
10412,FOSFINA-BT MG,BROMOTIRRENA S.R.L.,MAGNESIUM PHOSPHIDE,66.0 g
10413,SIMOX,AUSCHEM LTD,OXADIAZON,80.0 g
10414,REX,AGROWIN BIOSCIENCES S.R.L.,DICAMBA,70.0 g
10415,ARIC 480 L.S.,SCAM S.P.A.,DICAMBA,40.3 g
10416,TETRACAP DG,AGRIPHAR ITALIA S.R.L.,CAPTAN,80.0 g
10417,ACARIN,KOLLANT S.R.L.,DICOFOL,18.5 g
10418,TOMACOR 35 WG,AGRIMPORT S.P.A.,METRIBUZIN,35.0 g
10419,VEBIDONE FLOW,DIACHEM S.P.A.,PROCYMIDONE,281.0 g/l
10420,SUNDEK SL,EURO TSA S.R.L.,DICAMBA,25.5 g
10421,MANCOTAN 80,ARGCHEMICAL S.N.C.,MANCOZEB,80.0 g
10422,CUPRIPOL,ARGCHEMICAL S.N.C.,COPPER OXYCHLORIDE,17.1 g
10423,LUMACHICIDA VEBI,SHARDA CROPCHEM LIMITED,METALDEHYDE,5.0 g
10424,VEBIGLYF,VEBI ISTITUTO BIOCHIMICO S.R.L.,GLYPHOSATE,30.8 g
10425,SCUDEX,ASCENZA ITALIA S.R.L.,PENCONAZOLE,10.2 g
10426,PROTIL EC,ADAMA ITALIA S.R.L.,PROPICONAZOLE,23.1 g
10427,VEBIPHOS G,VEBI ISTITUTO BIOCHIMICO S.R.L.,CHLORPYRIFOS,7.5 g
10428,PORT BLU,AGROQUALITA' S.R.L.,DELTAMETHRIN,24.0 g/l
10429,PERCIS,KOLLANT S.R.L.,PERMETHRIN,76.0 g/l
10430,SIDERAL 50,SIPCAM S.P.A.,PROCYMIDONE,50.0 g
10431,GALAXY,UPL EUROPE LTD,BENTAZONE|ACIFLUORFEN,30.3 g|6.3 g
10432,FALGRO 4L,FINE AGROCHEMICALS LTD,GIBBERELLIC ACID,4.4 g
10433,FALGRO TABLET,FINE AGROCHEMICALS LTD,GIBBERELLIC ACID,18.4 g
10434,MAXIGIB BIO,FINE AGROCHEMICALS LTD,GIBBERELLIC ACID,20.0 g
10435,HERGON L,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),7.5 g
10436,GIBRELEX L 20,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID,2.0 g
10437,ULTRASTIM GA,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.3 g
10438,POLYKRON 59 GA,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.4 g
10439,SPRAY DUNGER GLOBAL,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.2 g|0.3 g
10440,EXPANDER,FINE AGROCHEMICALS LTD,6-BENZYLADENINE,9.4 g
10441,SPRAY DUNGER PS,BIOLCHIM S.P.A.,1-NAPHTHYLACETIC ACID (1-NAA),0.0 g
10442,DIFTOR 2000,CIFO S.R.L.,DIFLUBENZURON,5.0 g
10443,TRIPLEN MICRO,SIPCAM S.P.A.,TRIFLURALIN,38.3 g
10444,CAULISAN 99,CIFO S.R.L.,PROPAMOCARB,722.0 g/l
10445,KELLY WP,HELM AG,FOSETYL-ALUMINIUM,80.0 g
10446,ROTENIL,SERBIOS S.R.L.,ROTENONE,6.0 g
10447,NOVEL DUO,ADAMA MAKHTESHIM LTD,PROCHLORAZ|PROPICONAZOLE,34.8 g|7.8 g
10448,DELTACID L,SCAM S.P.A.,DELTAMETHRIN,16.0 g/l
10449,CLORIDAZON WDG AGRIM,AGRIM S.R.L.,CHLORIDAZON (AKA PYRAZONE),65.0 g
10450,SIREN,IQV ITALIA S.R.L.,COPPER OXYCHLORIDE,40.0 g
10451,BIETOTAL,SIVAM S.P.A.,ETHOFUMESATE|PHENMEDIPHAM|DESMEDIPHAM,128.0 g/l|62.0 g/l|16.0 g/l
10452,CLORPIRIFOS 1% CS,I.R.C.A. SERVICE S.P.A.,CHLORPYRIFOS,1.0 g
10453,STICK STRONG,BAYER CROPSCIENCE S.R.L.,DELTAMETHRIN,-
10454,AGROL,SIPCAM S.P.A.,PARAFFIN OIL/(CAS 8042-47-5),80.0 g
10455,TABOIL IM,AGRIPHAR ITALIA S.R.L.,MALEIC HYDRAZIDE,168.0 g/l
10456,KLARO ULTRA,CHEMINOVA AGRO ITALIA S.R.L.,GLYPHOSATE,30.8 g
10457,TOMIL 200,DIACHEM S.P.A.,METHOMYL,19.6 g
10458,SYRTEM,GREEN RAVENNA S.R.L.,DELTAMETHRIN,14.0 g/l
10459,COVER,GREEN RAVENNA S.R.L.,PROPAMOCARB HYDROCHLORIDE,66.5 g
10460,QUICK,GREEN RAVENNA S.R.L.,CHLORPYRIFOS-METHYL,22.0 g
10461,DICOTURF,DIACHEM S.P.A.,MECOPROP|DICAMBA,8.8 g|1.3 g
10462,OAK,GREEN RAVENNA S.R.L.,METRIBUZIN,35.0 g
10463,AXIS,GREEN RAVENNA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,2.0 g|20.0 g
10464,LOB50 FLOW,ADAMA AGAN LTD,TERBUTHYLAZINE,500.0 g/l
10465,ROUNDUP MAX,MONSANTO AGRICOLTURA ITALIA S.P.A.,GLYPHOSATE,68.0 g
10466,GIUTURNA,NUFARM ITALIA S.R.L.,HEXYTHIAZOX,10.0 g
10467,PRENESTE,NUFARM ITALIA S.R.L.,CLOFENTEZINE,42.0 g
